workerid,q,rt,response,browser,mTurkID,age,gender,ethnicity,irq_tn1,irq_tn2,irq_en1,irq_en2,irq_tp1,irq_tp2,irq_ep1,irq_ep2,irq_tn3,irq_tn4,irq_en3,irq_en4,irq_tp3,irq_tp4,irq_ep3,irq_ep4,irq_tn_total,irq_tp_total,irq_en_total,irq_ep_total,irq_total,erq_r1,erq_r3,erq_r5,erq_r7,erq_r8,erq_r10,erq_s2,erq_s4,erq_s6,erq_s9,erq_r_total,erq_s_total,bfi_e1,bfi_e6,bfi_e11,bfi_e16,bfi_e21,bfi_e26,bfi_e31,bfi_e36,bfi_e_total,task3_about,task3_suspect,task3_check,task3_belief,comments
NA,choice,4734,no_person,Chrome,NA,24,F,10,4,2,6,4,2,2,3,3,5,5,6,5,2,3,5,6,16,9,21,17,63,4,4,5,4,5,4,3,2,2,5,26,12,2,2,2,2,2,2,2,2,16,NA,NA,1,NA,NA
NA,choice,3587,no_person,Firefox,NA,24,M,5,5,4,6,6,6,6,6,6,4,4,5,5,5,6,5,6,17,23,22,23,85,5,6,5,5,5,5,5,3,4,5,31,17,2,2,2,3,2,2,2,2,17,NA,NA,0,NA,NA
NA,choice,2448,person,Chrome,NA,23,F,5,5,4,6,6,7,7,2,7,2,2,5,4,6,6,6,7,13,26,21,22,82,2,6,7,6,6,3,4,1,2,5,30,12,4,4,5,5,4,4,4,5,35,NA,NA,0,NA,NA
NA,choice,4738,person,Chrome,NA,28,F,4,2,2,5,5,6,7,4,5,2,2,4,5,5,5,4,5,8,23,19,18,68,2,5,6,2,5,3,5,3,3,5,23,16,2,2,2,3,2,2,4,2,19,NA,NA,1,NA,NA
NA,choice,49824,no_person,Mozilla,NA,42,F,5,2,1,3,2,1,1,4,4,1,1,4,1,2,1,3,2,5,5,10,13,33,5,6,6,5,6,5,6,6,6,5,33,23,4,4,4,4,5,5,5,4,35,NA,NA,1,NA,NA
NA,choice,6650,no_person,Chrome,NA,25,M,5,3,3,5,5,5,5,5,5,5,3,4,5,5,5,5,5,14,20,19,20,73,5,5,5,5,5,5,5,3,5,3,30,16,2,2,4,3,2,4,3,2,22,NA,NA,1,NA,NA
NA,choice,4500,person,Chrome,NA,31,M,5,4,3,5,5,6,5,4,5,2,4,5,2,7,6,6,4,13,24,17,19,73,4,3,5,3,3,2,3,1,2,1,20,7,3,3,4,3,3,4,5,3,28,NA,NA,0,NA,NA
NA,choice,2611,no_person,Chrome,NA,43,M,5,3,2,4,4,3,3,3,4,3,3,4,4,3,5,2,4,11,14,16,13,54,5,6,5,5,5,6,4,3,3,3,32,13,1,1,3,2,1,2,1,1,12,NA,NA,0,NA,NA
NA,choice,8084,person,Mozilla,NA,34,M,5,2,3,5,6,5,5,4,4,4,3,5,3,5,5,4,5,12,20,19,17,68,5,5,3,5,5,4,6,4,4,5,27,19,4,3,2,3,3,2,2,4,23,NA,NA,0,NA,NA
NA,choice,3798,person,Chrome,NA,34,F,4,2,3,7,6,2,3,4,4,2,1,7,6,2,6,2,5,8,13,26,15,62,4,3,5,5,5,5,7,3,2,6,27,18,1,1,2,2,1,2,3,2,14,NA,NA,1,NA,NA
NA,choice,6800,no_person,Chrome,NA,38,F,5,4,2,6,6,4,5,5,4,4,4,6,5,5,5,6,5,14,19,23,20,76,6,6,6,6,6,6,4,2,3,2,36,11,2,2,2,2,2,2,2,2,16,NA,NA,0,NA,NA
NA,choice,4505,person,Chrome,NA,22,M,5,4,4,6,6,4,4,6,6,4,4,4,5,4,6,6,6,16,18,21,24,79,7,7,6,5,6,6,5,2,4,4,37,15,3,3,4,4,3,3,3,3,26,NA,NA,1,NA,NA
NA,choice,3694,person,Chrome,NA,22,F,10,1,4,6,7,4,4,2,3,4,2,5,4,4,4,2,3,11,16,22,10,59,7,7,7,7,7,7,4,1,1,4,42,10,1,1,3,2,1,1,1,3,13,NA,NA,0,NA,NA
NA,choice,4170,person,Chrome,NA,25,F,5,2,5,6,6,4,6,2,2,2,2,6,5,4,6,2,2,11,20,23,8,62,6,6,6,5,6,5,4,2,5,2,34,13,1,1,2,2,1,3,2,2,14,NA,NA,0,NA,NA
NA,choice,3101,person,Chrome,NA,26,M,5,5,4,7,6,6,7,5,6,5,6,7,6,5,7,6,6,20,25,26,23,94,6,5,7,6,5,6,2,1,1,2,35,6,5,5,4,5,4,4,5,5,37,NA,NA,1,NA,NA
NA,choice,4463,person,Firefox,NA,32,M,5,1,1,4,3,2,1,2,4,4,2,3,4,3,2,2,2,8,8,14,10,40,4,4,4,4,4,4,7,4,4,4,24,19,3,2,3,3,2,3,2,2,20,NA,NA,0,NA,NA
NA,choice,3996,person,Firefox,NA,35,M,5,3,3,5,3,4,5,3,4,3,1,5,5,3,5,3,4,10,17,18,14,59,6,5,6,5,5,5,6,3,7,6,32,22,3,3,4,2,3,4,4,3,26,NA,NA,1,NA,NA
NA,choice,7424,person,Chrome,NA,57,F,5,7,6,7,6,5,6,5,6,6,6,6,6,6,7,6,7,25,24,25,24,98,5,5,4,5,5,4,3,1,1,1,28,6,5,4,4,4,5,4,2,5,33,NA,NA,1,NA,NA
NA,choice,3566,no_person,Chrome,NA,23,M,2,1,2,5,5,2,2,2,2,2,2,4,3,2,2,2,6,7,8,17,12,44,6,6,5,6,6,6,6,2,4,3,35,15,1,2,3,2,1,3,2,2,16,NA,NA,0,NA,NA
NA,choice,5676,person,Chrome,NA,44,M,5,2,3,6,6,6,5,2,5,3,4,6,5,2,6,6,6,12,19,23,19,73,6,6,6,6,6,7,7,2,5,6,37,20,4,4,3,3,4,3,4,4,29,NA,NA,1,NA,NA
NA,choice,4413,person,Mozilla,NA,33,F,5,6,5,7,7,5,6,5,6,6,5,7,6,5,6,6,7,22,22,27,24,95,6,6,6,6,6,6,3,2,2,2,36,9,4,3,4,4,2,2,3,4,26,NA,NA,1,NA,NA
NA,choice,6881,no_person,Chrome,NA,29,M,7,1,1,3,5,4,4,4,4,2,1,5,1,4,5,4,5,5,17,14,17,53,6,7,6,7,7,7,7,5,6,6,40,24,1,1,2,1,1,1,1,1,9,NA,NA,1,NA,NA
NA,choice,4560,no_person,Chrome,NA,27,M,6,2,2,4,2,2,2,2,3,3,2,3,3,2,2,2,4,9,8,12,11,40,3,4,4,3,4,4,5,4,4,3,22,16,1,1,3,2,1,1,1,1,11,NA,NA,0,NA,NA
NA,choice,4490,no_person,Chrome,NA,35,M,2,4,4,6,6,6,6,5,5,6,5,6,6,4,4,5,6,19,20,24,21,84,6,6,6,6,6,6,6,5,6,6,36,23,1,1,4,4,1,2,1,1,15,NA,NA,1,NA,NA
NA,choice,4150,no_person,Firefox,NA,34,F,5,2,2,3,3,2,2,3,3,3,2,2,3,3,3,2,3,9,10,11,11,41,3,3,3,3,3,3,6,6,6,6,18,24,2,2,2,2,2,2,2,2,16,NA,NA,1,NA,NA
NA,choice,3274,person,Firefox,NA,42,M,4,3,2,3,4,5,5,4,4,4,4,5,5,5,5,5,5,13,20,17,18,68,6,6,6,6,6,6,6,6,6,6,36,24,1,2,3,3,1,3,1,2,16,NA,NA,1,NA,NA
NA,choice,6033,person,Chrome,NA,26,M,5,5,5,6,6,4,4,4,4,5,5,6,6,4,4,4,5,20,16,24,17,77,5,4,4,5,4,3,3,2,3,3,25,11,2,2,2,2,2,2,2,2,16,NA,NA,1,NA,NA
NA,choice,7370,no_person,Chrome,NA,34,M,5,2,1,5,3,3,3,5,4,1,3,3,2,2,3,4,5,7,11,13,18,49,5,5,6,5,4,5,3,2,3,3,30,11,3,2,4,4,3,4,4,4,28,NA,NA,1,NA,NA
NA,choice,23255,no_person,Safari,NA,29,M,6,5,5,6,5,6,6,6,6,4,5,6,5,5,6,6,7,19,23,22,25,89,5,2,6,6,6,3,3,2,3,3,28,11,4,4,4,4,4,4,4,4,32,NA,NA,1,NA,NA
NA,choice,5149,person,Chrome,NA,26,F,6,3,3,4,6,7,2,5,4,6,3,3,6,4,7,1,4,15,20,19,14,68,4,6,5,1,5,3,2,4,2,6,24,14,4,4,5,3,4,5,3,5,33,NA,NA,1,NA,NA
NA,choice,6783,no_person,Chrome,NA,53,M,5,5,5,6,6,4,4,3,5,5,5,5,4,5,4,6,6,20,17,21,20,78,6,5,5,6,6,5,6,5,6,5,33,22,2,2,3,2,1,2,2,2,16,NA,NA,1,NA,NA
NA,choice,6594,person,Mozilla,NA,31,M,5,5,3,7,7,5,7,3,7,5,6,7,7,5,7,7,7,19,24,28,24,95,6,7,6,2,6,3,2,3,6,2,30,13,1,2,4,5,2,5,4,4,27,NA,NA,1,NA,NA
NA,choice,5805,person,Chrome,NA,44,F,4,3,2,4,6,3,3,6,2,2,3,4,3,5,5,6,6,10,16,17,20,63,6,5,6,7,4,5,7,3,4,3,33,17,1,2,2,3,1,2,5,1,17,NA,NA,0,NA,NA
NA,choice,7683,person,Chrome,NA,27,M,5,2,4,3,5,4,4,2,4,5,4,4,5,5,3,3,4,15,16,17,13,61,4,4,5,2,4,3,4,4,4,5,22,17,2,3,3,2,2,3,4,4,23,NA,NA,0,NA,NA
NA,choice,3725,person,Firefox,NA,21,F,5,1,1,5,5,3,1,3,5,1,2,3,2,1,3,1,6,5,8,15,15,43,5,5,3,5,5,5,7,6,6,5,28,24,1,1,1,1,1,1,1,1,8,NA,NA,1,NA,NA
NA,choice,11491,no_person,Firefox,NA,49,M,5,5,4,5,6,3,6,2,5,3,5,6,4,5,6,5,5,17,20,21,17,75,3,3,5,5,5,5,6,6,6,6,26,24,1,1,2,1,1,2,1,1,10,NA,NA,1,NA,NA
NA,choice,5290,no_person,Chrome,NA,40,M,5,6,2,6,5,5,5,6,5,2,2,5,5,5,5,4,6,12,20,21,21,74,5,6,5,6,6,6,6,2,4,3,34,15,4,4,3,2,2,2,2,2,21,NA,NA,1,NA,NA
NA,choice,5280,no_person,Chrome,NA,28,M,5,3,3,5,5,3,3,3,4,4,2,5,4,4,5,3,5,12,15,19,15,61,6,6,6,5,6,6,5,3,5,5,35,18,2,2,3,2,2,3,2,2,18,NA,NA,0,NA,NA
NA,choice,2632,no_person,Firefox,NA,25,M,5,1,2,5,5,4,4,3,4,2,5,4,5,4,6,4,6,10,18,19,17,64,6,6,4,6,6,6,2,2,2,4,34,10,1,1,1,3,1,3,1,1,12,NA,NA,1,NA,NA
NA,choice,4634,person,Chrome,NA,47,M,5,5,3,6,5,5,6,6,6,4,4,5,5,5,6,6,6,16,22,21,24,83,6,5,6,6,5,6,4,3,3,5,34,15,4,4,5,5,4,4,4,4,34,NA,NA,1,NA,NA
NA,choice,16129,person,Chrome,NA,31,F,5,5,6,6,6,6,7,4,7,6,6,7,7,6,5,6,6,23,24,26,23,96,6,6,7,6,7,5,3,2,4,3,37,12,2,2,5,5,3,5,4,4,30,NA,NA,1,NA,NA
NA,choice,8498,no_person,Chrome,NA,55,F,5,2,1,6,3,5,5,2,6,2,2,5,2,2,6,3,7,7,18,16,18,59,6,6,6,6,6,6,2,2,2,2,36,8,4,4,5,5,4,4,4,4,34,NA,NA,1,NA,NA
NA,choice,6252,person,Chrome,NA,52,M,5,3,3,4,4,4,5,5,4,2,4,6,3,3,5,4,6,12,17,17,19,65,5,4,5,5,5,5,5,4,4,4,29,17,2,2,3,3,2,3,2,2,19,NA,NA,1,NA,NA
NA,choice,4392,no_person,Chrome,NA,29,F,4,2,2,5,5,3,2,2,2,2,6,5,6,2,6,2,5,12,13,21,11,57,5,6,6,6,6,6,5,3,3,3,35,14,1,1,2,2,1,2,2,2,13,NA,NA,1,NA,NA
NA,choice,6191,no_person,Firefox,NA,39,F,5,3,5,4,5,4,4,5,5,3,4,6,5,4,6,5,7,15,18,20,22,75,6,4,5,5,4,4,3,3,3,6,28,15,4,4,5,4,4,2,4,4,31,NA,NA,1,NA,NA
NA,choice,4927,no_person,Chrome,NA,29,M,5,2,2,4,5,2,2,4,4,2,2,4,4,2,2,2,4,8,8,17,14,47,4,4,4,4,4,4,7,4,6,6,24,23,3,2,2,2,2,2,2,3,18,NA,NA,0,NA,NA
NA,choice,5041,no_person,Firefox,NA,30,M,5,4,3,5,5,3,3,6,5,3,3,5,5,3,5,5,5,13,14,20,21,68,5,6,5,6,6,5,6,4,5,4,33,19,2,2,3,4,2,2,2,2,19,NA,NA,1,NA,NA
NA,choice,5988,no_person,Chrome,NA,25,M,2,2,2,5,6,2,4,4,3,5,3,4,4,3,2,5,5,12,11,19,17,59,5,4,5,5,4,6,6,3,3,2,29,14,1,1,3,2,1,1,1,1,11,NA,NA,1,NA,NA
NA,choice,2796,no_person,Chrome,NA,39,M,5,3,2,7,5,5,4,4,5,4,3,5,5,4,5,6,6,12,18,22,21,73,3,4,5,4,4,4,6,3,4,5,24,18,3,2,3,3,2,4,1,2,20,NA,NA,0,NA,NA
NA,choice,4383,person,Chrome,NA,21,M,5,2,2,5,3,2,5,2,6,1,2,2,4,6,6,6,6,7,19,14,20,60,2,2,6,2,2,2,6,3,6,6,16,21,4,2,4,3,2,2,2,2,21,NA,NA,1,NA,NA
NA,choice,4378,no_person,Firefox,NA,41,M,5,3,2,5,5,3,2,3,4,3,3,3,3,3,3,5,5,11,11,16,17,55,3,5,5,5,4,5,5,3,6,5,27,19,1,1,2,2,1,1,1,1,10,NA,NA,1,NA,NA
NA,choice,5219,no_person,Chrome,NA,39,F,5,5,6,6,5,6,6,4,5,5,6,6,6,6,6,5,6,22,24,23,20,89,6,6,6,6,6,6,2,2,2,2,36,8,3,3,4,4,3,3,3,3,26,NA,NA,0,NA,NA
NA,choice,3047,no_person,Chrome,NA,34,M,5,2,2,4,2,2,2,4,4,2,2,2,4,2,2,2,6,8,8,12,16,44,6,6,6,6,6,6,6,6,6,6,36,24,3,3,4,4,3,2,2,4,25,NA,NA,0,NA,NA
NA,choice,5344,no_person,Firefox,NA,27,M,5,5,5,6,6,7,6,5,5,5,7,6,5,4,5,6,6,22,22,23,22,89,5,3,4,3,2,2,3,2,2,6,19,13,4,5,4,4,5,4,5,4,35,NA,NA,0,NA,NA
NA,choice,6572,no_person,Chrome,NA,31,M,10,1,2,4,3,2,2,2,4,1,2,2,4,2,4,2,4,6,10,13,12,41,5,5,5,5,5,5,6,3,2,4,30,15,1,3,4,2,1,2,2,1,16,NA,NA,1,NA,NA
NA,choice,5064,person,Chrome,NA,30,F,5,6,6,6,6,6,6,3,4,5,5,6,4,6,6,6,6,22,24,22,19,87,4,3,2,4,4,2,3,2,2,2,19,9,2,2,2,4,2,4,4,2,22,NA,NA,1,NA,NA
NA,choice,7038,no_person,Chrome,NA,34,M,6,3,2,5,5,2,4,4,5,3,2,5,5,5,5,5,6,10,16,20,20,66,4,5,5,5,5,5,6,4,3,2,29,15,4,3,3,3,4,4,3,4,28,NA,NA,1,NA,NA
NA,choice,4097,no_person,Chrome,NA,24,M,6,3,2,6,5,4,4,6,6,4,4,6,6,4,6,6,6,13,18,23,24,78,4,5,6,5,5,5,5,2,2,3,30,12,2,2,2,2,3,2,2,2,17,NA,NA,0,NA,NA
NA,choice,4530,person,Safari,NA,50,F,5,4,3,6,6,3,4,2,3,5,5,5,5,4,4,3,4,17,15,22,12,66,5,5,4,5,5,5,3,2,2,3,29,10,5,3,4,2,4,5,2,1,26,NA,NA,1,NA,NA
NA,choice,6956,no_person,Chrome,NA,26,M,5,3,5,6,7,5,5,1,5,5,5,7,5,4,6,3,5,18,20,25,14,77,7,6,7,7,7,7,5,1,3,5,41,14,2,1,3,2,2,4,3,3,20,NA,NA,1,NA,NA
NA,choice,4995,person,Firefox,NA,36,M,5,6,6,7,6,5,6,7,7,6,6,7,7,5,6,7,7,24,22,27,28,101,6,7,7,5,6,4,2,2,4,5,35,13,4,5,4,4,5,4,5,5,36,NA,NA,1,NA,NA
NA,choice,5725,person,Chrome,NA,36,M,5,4,3,5,3,3,3,5,4,3,3,3,3,3,3,3,5,13,12,14,17,56,5,5,5,5,5,5,6,4,5,5,30,20,2,2,2,3,2,2,2,2,17,NA,NA,1,NA,NA
NA,choice,5689,person,Chrome,NA,36,F,5,7,7,7,7,7,7,6,6,7,7,6,6,7,7,6,6,28,28,26,24,106,3,2,1,3,2,2,1,2,1,1,13,5,3,3,3,2,3,3,3,3,23,NA,NA,1,NA,NA
NA,choice,6231,person,Chrome,NA,22,M,2,6,5,6,7,5,5,6,4,4,4,5,6,4,6,5,6,19,20,24,21,84,4,4,5,5,4,4,7,6,6,6,26,25,3,2,3,2,2,2,2,3,19,NA,NA,0,NA,NA
NA,choice,4587,person,Chrome,NA,24,M,5,1,7,5,5,5,1,4,6,1,1,5,5,5,6,5,6,10,17,20,21,68,7,7,7,7,7,7,7,7,7,7,42,28,5,5,5,5,5,5,5,5,40,NA,NA,0,NA,NA
NA,choice,3889,person,Safari,NA,31,F,5,6,5,6,6,6,6,5,6,4,3,6,7,6,6,5,6,18,24,25,22,89,5,4,7,5,4,4,5,2,3,5,29,15,4,3,4,4,3,4,2,4,28,NA,NA,1,NA,NA
NA,choice,3523,person,Safari,NA,36,F,5,1,2,6,6,5,6,4,5,2,2,5,3,4,5,4,6,7,20,20,19,66,4,5,4,3,4,4,5,4,3,5,24,17,2,2,2,3,2,1,1,2,15,NA,NA,1,NA,NA
NA,choice,3003,person,Firefox,NA,37,F,5,6,5,6,7,5,5,4,4,5,3,7,5,5,6,4,5,19,21,25,17,82,5,5,3,5,5,4,3,3,3,5,27,14,4,2,3,3,3,2,2,2,21,NA,NA,0,NA,NA
NA,choice,6027,person,Chrome,NA,34,M,6,2,2,5,5,6,5,4,4,2,5,5,2,5,6,4,5,11,22,17,17,67,5,5,5,5,5,5,7,4,6,2,30,19,2,2,2,2,2,2,2,1,15,NA,NA,1,NA,NA
NA,choice,9710,person,Chrome,NA,34,F,5,6,5,6,6,5,6,6,6,5,5,7,6,6,6,6,6,21,23,25,24,93,6,6,5,3,3,3,3,2,2,3,26,10,3,2,2,2,2,2,2,2,17,NA,NA,1,NA,NA
NA,choice,4770,person,Mozilla,NA,36,M,5,5,4,6,6,3,5,5,5,5,5,5,6,4,5,5,6,19,17,23,21,80,6,3,5,6,6,6,5,2,3,5,32,15,3,2,4,4,2,4,2,3,24,NA,NA,0,NA,NA
NA,choice,5648,person,Firefox,NA,67,M,5,5,3,6,5,5,6,4,5,5,2,6,6,3,5,6,6,15,19,23,21,78,6,5,5,5,5,6,5,2,5,6,32,18,1,2,3,2,2,3,2,2,17,NA,NA,0,NA,NA
NA,choice,3875,person,Chrome,NA,23,M,5,5,5,6,6,5,5,5,6,5,3,6,6,5,5,6,6,18,20,24,23,85,6,5,6,5,5,5,3,3,3,3,32,12,4,4,2,4,4,4,4,4,30,NA,NA,1,NA,NA
NA,choice,3312,person,Chrome,NA,32,F,5,7,6,7,7,6,7,6,7,5,6,7,7,6,6,7,7,24,25,28,27,104,5,5,6,5,5,5,1,1,1,1,31,4,5,5,5,3,5,2,5,5,35,NA,NA,1,NA,NA
NA,choice,4477,no_person,Chrome,NA,21,F,4,3,1,6,6,5,5,3,5,2,2,5,5,2,6,2,5,8,18,22,15,63,6,6,5,5,4,5,6,3,4,3,31,16,1,1,4,2,1,4,4,2,19,NA,NA,0,NA,NA
NA,choice,4810,person,Firefox,NA,22,M,5,3,5,5,5,3,3,4,4,5,4,3,5,5,2,3,5,17,13,18,16,64,5,4,3,4,5,4,3,5,5,5,25,18,1,2,2,4,3,4,4,4,24,NA,NA,1,NA,NA
NA,choice,3027,person,Chrome,NA,24,M,5,5,5,7,7,4,2,7,7,5,7,7,6,3,3,5,5,22,12,27,24,85,5,3,6,6,4,4,7,4,7,3,28,21,4,1,2,5,2,1,2,5,22,NA,NA,0,NA,NA
NA,choice,8696,person,Chrome,NA,34,M,4,6,4,7,7,2,2,1,7,6,3,7,3,4,6,6,7,19,14,24,21,78,2,4,7,2,2,4,6,2,4,4,21,16,4,4,5,5,5,5,5,5,38,NA,NA,1,NA,NA
NA,choice,4463,no_person,Mozilla,NA,56,M,5,5,2,6,5,6,6,6,6,3,4,5,6,5,6,6,6,14,23,22,24,83,3,5,5,5,5,5,3,1,3,3,28,10,4,4,3,3,4,2,4,4,28,NA,NA,0,NA,NA
NA,choice,11023,no_person,Chrome,NA,28,M,6,5,4,6,6,4,5,4,6,3,3,6,5,4,5,7,6,15,18,23,23,79,6,6,6,6,6,7,4,4,4,4,37,16,5,2,5,5,2,4,1,4,28,NA,NA,1,NA,NA
NA,choice,4621,person,Safari,NA,35,M,5,3,3,5,5,4,5,4,5,3,4,4,4,5,5,4,5,13,19,18,18,68,3,3,4,3,4,3,4,3,4,4,20,15,3,2,3,3,2,4,4,3,24,NA,NA,1,NA,NA
NA,choice,6940,no_person,Chrome,NA,31,M,5,2,2,5,5,2,2,4,4,2,2,4,4,3,4,4,5,8,11,18,17,54,4,4,5,4,4,4,5,4,5,4,25,18,2,2,3,2,2,5,4,2,22,NA,NA,0,NA,NA
NA,choice,17173,person,Chrome,NA,24,M,5,2,1,6,4,1,1,4,1,4,4,6,6,1,1,1,1,11,4,22,7,44,4,6,7,6,7,6,2,6,1,2,36,11,5,5,2,1,5,4,5,1,28,NA,NA,1,NA,NA
NA,choice,3313,person,Explorer,NA,54,M,5,5,5,7,6,6,6,4,6,4,5,6,7,6,7,6,6,19,25,26,22,92,5,6,6,5,6,6,6,2,7,6,34,21,4,2,2,2,2,2,1,4,19,NA,NA,0,NA,NA
NA,choice,6917,person,Chrome,NA,30,F,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,24,24,24,24,96,6,6,6,2,6,6,2,2,4,5,32,13,4,3,4,4,3,3,4,4,29,NA,NA,1,NA,NA
NA,choice,3789,no_person,Mozilla,NA,40,M,7,2,2,5,4,3,5,6,4,5,6,5,5,3,7,5,6,15,18,19,21,73,4,3,3,3,6,3,2,5,5,5,22,17,1,1,3,4,1,1,2,2,15,NA,NA,1,NA,NA
NA,choice,3492,no_person,Chrome,NA,28,M,5,5,3,4,5,7,5,5,5,5,6,5,5,6,5,6,5,19,23,19,21,82,5,7,6,3,3,6,6,3,6,3,30,18,4,3,4,4,3,3,3,4,28,NA,NA,1,NA,NA
NA,choice,5347,no_person,Chrome,NA,26,M,5,5,3,7,5,5,5,4,6,5,1,6,5,4,5,4,6,14,19,23,20,76,1,4,7,1,5,4,5,3,3,3,22,14,3,2,4,3,3,4,2,3,24,NA,NA,0,NA,NA
NA,choice,4949,person,Chrome,NA,31,F,5,2,5,6,5,5,5,4,4,5,1,5,2,5,5,5,4,13,20,18,17,68,5,5,5,5,5,5,6,3,6,7,30,22,4,4,4,4,4,4,4,4,32,NA,NA,1,NA,NA
NA,choice,9830,no_person,Opera,NA,38,F,4,5,4,6,6,5,5,5,5,4,3,6,4,5,6,5,6,16,21,22,21,80,5,6,6,5,5,5,4,3,4,4,32,15,2,2,3,3,2,2,2,2,18,NA,NA,0,NA,NA
NA,choice,4365,person,Mozilla,NA,36,F,5,5,3,7,5,4,6,4,6,3,5,4,3,5,7,5,6,16,22,19,21,78,5,5,5,5,5,5,5,2,5,5,30,17,4,4,4,4,4,5,3,4,32,NA,NA,0,NA,NA
NA,choice,4631,person,Chrome,NA,56,F,5,5,5,6,3,3,6,4,4,4,5,6,5,5,7,5,7,19,21,20,20,80,5,6,4,2,4,5,2,2,2,3,26,9,4,4,4,5,4,3,5,4,33,NA,NA,1,NA,NA
NA,choice,1598,person,Safari,NA,18,F,8,5,5,5,5,5,6,6,5,5,4,6,6,4,6,5,6,19,21,22,22,84,4,5,5,5,3,4,5,4,5,2,26,16,4,2,2,2,3,5,2,4,24,NA,NA,1,NA,NA
