•ÈÀV1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Intro,mTurk ID,Age,Gender,Ethnicity,Country,Exper_text,Exper_rate_1,SS_text,SS_rate_1,SS_rate_2,SS_rate_3,SS_num,SS_time,IRQ_1,IRQ_2,IRQ_3,IRQ_4,IRQ_5,IRQ_6,IRQ_7,IRQ_8,IRQ_9,IRQ_10,IRQ_11,IRQ_12,IRQ_13,IRQ_14,IRQ_15,IRQ_16,ERQ_1,ERQ_2,ERQ_3,ERQ_4,ERQ_5,ERQ_6,ERQ_7,ERQ_8,ERQ_9,ERQ_10,BFI_E_1,BFI_E_2,BFI_E_3,BFI_E_4,BFI_E_5,BFI_E_6,BFI_E_7,BFI_E_8,TY,LocationLatitude,LocationLongitude,LocationAccuracy
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 7:57,1,1,1,NA,36,1,5,1,NA,5,NA,5,6,5,2,5,2,3,3,3,5,4,5,5,3,5,3,5,3,3,3,5,3,5,3,4,5,5,5,5,5,5,2,4,3,3,4,2,3,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:53,10/10/14 7:57,1,1,1,NA,26,1,5,1,NA,3,NA,6,6,6,4,30,2,2,2,2,5,5,5,4,3,3,3,3,5,5,5,5,5,5,5,4,5,3,5,5,5,5,3,3,3,3,4,4,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 7:57,1,1,1,NA,32,1,5,1,NA,5,NA,2,1,2,5,120,2,2,1,2,2,3,2,3,5,6,6,5,2,1,3,4,6,7,5,3,5,3,6,5,2,6,3,4,1,3,5,2,5,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:57,1,1,1,NA,24,2,5,1,NA,4,NA,5,7,6,4,20,6,5,5,6,6,6,6,6,7,6,7,6,6,6,6,6,6,5,3,2,3,3,6,4,4,3,3,3,4,2,3,2,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 7:57,1,1,1,NA,32,1,5,1,NA,6,NA,7,6,6,2,90,6,4,3,4,6,5,7,6,3,4,3,4,6,5,7,6,6,5,6,3,6,5,6,6,5,6,3,4,2,2,4,4,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:57,1,1,1,NA,51,2,5,1,NA,7,NA,7,5,2,6,20,5,5,6,5,7,7,7,7,5,7,5,6,5,5,7,4,6,2,6,5,4,2,5,6,2,3,2,5,2,1,3,1,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 7:58,1,1,1,NA,25,2,5,1,NA,4,NA,6,5,4,5,30,3,3,5,2,7,5,5,6,3,2,2,6,2,5,5,6,6,3,7,2,5,1,5,7,2,6,1,5,4,2,5,2,4,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 7:58,1,1,1,NA,58,1,5,1,NA,6,NA,7,7,7,1,10,5,3,3,3,5,3,5,5,6,6,6,6,6,6,6,5,4,6,4,3,5,5,5,5,6,4,4,2,3,3,2,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 7:58,1,1,1,NA,28,1,5,1,NA,3,NA,6,4,5,1,10,3,2,2,3,5,5,5,4,5,6,5,7,5,5,6,6,6,5,5,2,6,5,6,5,5,7,5,1,4,4,1,4,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:53,10/10/14 7:58,1,1,1,NA,55,1,5,1,NA,7,NA,5,6,4,2,15,5,3,5,2,6,5,5,4,3,3,4,5,4,3,2,5,5,6,5,7,6,6,6,5,6,6,1,5,2,2,5,1,5,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:58,1,1,1,NA,67,1,5,1,NA,5,NA,6,7,6,2,10,6,5,5,4,6,6,7,6,5,6,5,6,5,5,6,6,6,5,6,2,5,6,6,5,6,4,1,4,3,2,4,3,4,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:54,10/10/14 7:58,1,1,1,NA,26,2,5,1,NA,5,NA,3,3,4,1,2,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,3,5,2,5,4,5,5,3,4,4,2,4,4,2,4,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:51,10/10/14 7:58,1,1,1,NA,29,2,5,1,NA,7,NA,7,7,7,2,25,6,6,4,6,6,6,5,6,6,6,6,6,6,6,6,6,5,3,6,3,4,3,6,6,3,6,5,2,5,5,2,4,2,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:43,10/10/14 7:58,1,1,1,NA,24,1,5,1,NA,5,NA,5,6,6,5,15,5,5,6,6,6,7,7,6,5,5,6,7,7,7,7,7,4,6,5,2,6,5,6,6,6,5,4,3,4,5,3,4,3,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:54,10/10/14 7:58,1,1,1,NA,24,2,5,1,NA,3,NA,5,5,4,2,120,2,1,2,2,6,6,7,5,5,6,6,6,4,4,3,5,2,5,2,1,1,2,2,2,3,2,4,2,3,4,2,5,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:51,10/10/14 7:58,1,1,1,NA,22,1,7,1,NA,6,NA,4,5,6,5,180,2,2,2,2,6,2,6,6,2,2,2,6,6,6,6,6,5,6,6,2,5,5,5,6,5,5,3,2,2,4,4,4,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:54,10/10/14 7:58,1,1,1,NA,20,2,4,1,NA,2,NA,6,7,4,2,35,6,3,4,3,6,6,7,4,6,7,4,7,7,7,6,7,6,7,5,1,6,2,6,6,6,5,5,1,5,4,1,5,1,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:41,10/10/14 7:59,1,1,1,NA,61,1,5,1,NA,7,NA,7,6,2,5,90,3,3,4,2,5,6,6,6,5,3,3,6,4,5,5,6,6,5,6,3,6,5,6,6,6,6,4,3,4,4,3,2,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:53,10/10/14 7:59,1,1,1,NA,28,1,5,1,NA,6,NA,2,2,1,2,15,5,5,5,3,5,7,5,5,6,5,6,6,5,5,5,5,2,5,2,3,2,5,2,2,2,2,4,4,2,2,4,1,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:53,10/10/14 7:59,1,1,1,NA,53,2,5,1,NA,4,NA,6,6,6,3,5,2,2,2,2,6,6,6,6,6,6,6,6,3,6,6,6,3,3,3,2,5,2,5,5,3,4,4,2,4,4,2,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 7:59,1,1,1,NA,23,1,5,1,NA,7,NA,3,7,6,3,40,1,1,1,7,7,4,5,5,5,5,5,5,4,6,6,6,6,6,6,2,6,1,6,6,6,6,4,4,4,4,3,3,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:47,10/10/14 7:59,1,1,1,NA,42,2,6,1,NA,6,NA,7,7,7,2,90,5,6,5,5,7,6,7,6,4,6,5,7,6,6,6,6,6,3,6,1,6,3,6,6,3,6,5,2,4,4,1,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:56,10/10/14 7:59,1,1,1,NA,25,1,5,1,NA,4,NA,5,6,6,1,20,5,6,5,5,6,6,5,6,5,5,3,3,6,6,4,4,6,6,5,6,6,5,6,6,5,6,4,4,4,4,5,4,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:54,10/10/14 7:59,1,1,1,NA,22,2,9,1,NA,5,NA,5,6,4,3,5,6,5,5,6,6,6,6,5,6,6,6,6,5,5,6,6,5,1,5,1,6,2,6,5,2,5,4,2,4,4,2,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:47,10/10/14 7:59,1,1,1,NA,32,2,5,1,NA,6,NA,7,5,7,4,40,3,5,2,2,7,6,6,5,5,7,5,6,3,5,5,3,5,3,5,2,6,2,5,5,2,5,4,5,1,2,2,5,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:51,10/10/14 7:59,1,1,1,NA,50,2,5,1,NA,2,NA,5,6,5,2,5,5,4,3,3,5,5,6,4,4,5,4,5,4,5,5,5,5,5,4,2,5,5,4,5,3,5,5,2,3,4,3,4,2,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:59,1,1,1,NA,35,2,5,1,NA,6,NA,4,6,2,2,60,5,6,5,5,7,6,6,7,6,6,5,5,6,6,5,6,5,1,4,2,5,2,4,5,2,4,3,2,4,4,3,4,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:48,10/10/14 7:59,1,1,1,NA,33,2,5,1,NA,7,NA,7,7,5,2,90,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,2,5,2,6,2,5,5,2,5,4,2,4,4,2,1,1,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:51,10/10/14 7:59,1,1,1,NA,56,2,5,1,NA,6,NA,5,6,6,1,7,2,3,3,5,6,6,5,4,5,5,4,5,4,5,5,5,6,3,6,2,6,3,6,5,2,5,5,2,3,4,2,4,2,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:55,10/10/14 7:59,1,1,1,NA,29,1,5,1,NA,6,NA,4,2,3,1,1,2,2,1,2,6,5,5,5,6,6,5,7,7,6,6,6,6,5,6,1,7,3,6,6,2,6,4,2,4,4,2,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:46,10/10/14 8:00,1,1,1,NA,72,2,5,1,NA,4,NA,6,6,6,2,5,6,6,6,6,6,6,6,6,6,6,5,7,4,6,6,6,6,3,5,1,5,2,5,5,2,5,4,3,3,3,3,4,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:49,10/10/14 8:00,1,1,1,NA,30,1,5,1,NA,4,NA,6,6,5,3,45,3,3,4,4,5,4,5,4,3,4,3,4,4,4,5,5,5,5,5,4,5,3,5,5,4,6,3,4,4,4,4,2,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:57,10/10/14 8:00,1,1,1,NA,29,1,5,1,NA,4,NA,6,6,5,1,5,7,5,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,2,6,2,6,3,6,6,3,6,5,2,5,5,1,3,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:55,10/10/14 8:00,1,1,1,NA,29,1,2,1,NA,5,NA,6,6,5,3,5,4,5,5,4,6,7,7,6,6,7,7,5,7,6,6,7,6,5,5,5,7,5,4,5,6,5,5,1,5,4,1,4,3,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 8:00,1,1,1,NA,32,2,5,1,NA,7,NA,1,2,1,2,45,6,6,6,7,6,7,7,5,6,7,6,7,5,5,5,5,6,3,6,3,7,2,6,6,2,6,4,1,4,4,1,1,1,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:50,10/10/14 8:00,1,1,1,NA,22,2,1,1,NA,4,NA,6,6,7,2,30,6,3,7,5,5,5,7,4,5,4,4,4,5,6,4,5,5,2,5,3,5,2,6,6,4,7,3,4,4,3,5,3,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 8:00,1,1,1,NA,40,2,10,1,NA,6,NA,3,3,1,1,5,6,5,1,5,7,7,7,7,6,5,5,6,7,7,7,7,6,5,6,2,3,6,6,5,5,5,5,2,2,4,2,4,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:55,10/10/14 8:00,1,1,1,NA,19,2,5,1,NA,6,NA,6,7,6,2,30,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,5,2,4,1,4,1,5,4,1,4,5,1,4,5,1,1,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:56,10/10/14 8:00,1,1,1,NA,35,1,5,1,NA,4,NA,4,1,1,1,3,1,1,1,1,4,1,1,4,1,1,1,1,4,1,1,4,4,7,4,7,4,7,4,4,7,4,3,4,3,3,1,4,1,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:50,10/10/14 8:00,1,1,1,NA,34,1,9,1,NA,7,NA,7,7,7,1,15,1,1,1,1,7,7,7,7,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,1,5,5,1,5,5,1,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:56,10/10/14 8:01,1,1,1,NA,31,1,5,1,NA,4,NA,4,4,5,2,60,6,5,5,5,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,2,5,5,6,6,3,5,3,4,2,2,4,3,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:53,10/10/14 8:01,1,1,1,NA,29,1,4,1,NA,5,NA,5,6,5,2,25,3,4,3,4,4,5,4,3,4,4,4,3,2,4,3,4,4,3,4,3,4,3,4,4,3,4,2,3,4,3,4,3,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 8:01,1,1,1,NA,31,2,5,1,NA,2,NA,2,2,2,1,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,3,3,4,4,5,4,2,5,3,2,5,1,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:46,10/10/14 8:01,1,1,1,NA,45,1,5,1,NA,5,NA,7,7,7,2,5,2,5,3,3,7,6,6,5,3,4,2,6,5,5,5,5,2,5,3,3,5,4,3,3,2,4,2,3,3,4,4,3,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:43,10/10/14 8:01,1,1,1,NA,35,1,5,1,NA,4,NA,7,7,4,1,5,5,5,5,5,7,7,7,7,5,5,5,5,7,7,7,7,5,2,5,1,5,2,5,5,2,5,1,5,1,1,5,1,5,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:57,10/10/14 8:01,1,1,1,NA,40,1,5,1,NA,5,NA,6,5,6,1,10,4,4,3,4,5,4,5,5,3,4,4,5,4,3,4,5,4,5,3,4,5,2,4,4,4,4,3,2,3,3,2,4,2,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:57,10/10/14 8:02,1,1,1,NA,41,1,5,1,NA,2,NA,6,7,7,1,60,5,3,1,3,6,5,5,6,6,7,7,7,4,5,5,5,6,6,6,2,5,5,6,6,7,6,5,1,5,4,1,4,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 8:02,1,1,1,NA,31,2,5,1,NA,7,NA,7,7,4,1,40,5,5,5,5,5,6,5,5,6,6,6,6,4,5,5,5,5,2,5,1,5,1,5,5,4,5,4,4,5,4,3,3,3,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:54,10/10/14 8:02,1,1,1,NA,28,2,5,1,NA,5,NA,4,2,1,5,30,4,3,4,5,6,6,5,6,4,5,3,4,6,4,4,5,3,3,6,2,6,2,6,6,3,6,3,2,3,4,2,3,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:55,10/10/14 8:02,1,1,1,NA,23,1,5,1,NA,6,NA,6,6,4,2,3,3,4,2,4,5,5,5,3,5,4,4,5,3,4,5,6,1,4,3,2,5,5,5,5,2,3,2,4,3,3,4,5,3,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:55,10/10/14 8:02,1,1,1,NA,20,1,2,1,NA,5,NA,7,7,7,2,45,6,6,6,7,7,7,7,7,7,7,7,7,4,5,5,5,2,3,4,3,2,2,2,2,2,2,1,4,2,3,5,4,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:50,10/10/14 8:02,1,1,1,NA,23,2,5,1,NA,7,NA,7,7,3,5,90,4,3,2,5,7,7,5,4,5,5,2,6,6,5,4,6,5,3,5,2,5,2,5,5,3,5,2,5,2,2,5,1,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 8:03,1,1,1,NA,31,2,5,1,NA,4,NA,5,7,6,1,45,2,4,5,5,6,7,6,2,7,7,7,7,2,5,2,6,5,3,5,2,1,3,3,5,3,4,4,4,2,1,4,5,4,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:54,10/10/14 8:03,1,1,1,NA,59,1,5,1,NA,4,NA,6,4,3,2,10,3,2,3,3,6,5,5,4,6,6,6,7,4,5,5,6,5,5,6,1,7,5,6,6,5,7,4,4,5,5,4,4,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 8:03,1,1,1,NA,28,2,5,1,NA,4,NA,7,7,7,1,25,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,2,1,7,7,7,4,4,7,5,4,4,5,4,4,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:53,10/10/14 8:03,1,1,1,NA,36,2,5,1,NA,6,NA,6,7,7,5,30,5,3,4,4,5,6,7,5,5,7,6,5,3,4,3,5,6,7,5,5,4,6,4,5,4,4,3,4,3,2,5,2,5,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:55,10/10/14 8:03,1,1,1,NA,32,2,5,1,NA,6,NA,6,6,6,1,3,5,5,5,6,6,6,6,6,5,5,5,6,4,3,2,5,3,5,3,2,5,3,5,3,3,5,3,4,3,3,4,4,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:58,10/10/14 8:03,1,1,1,NA,30,1,6,1,NA,5,NA,5,6,6,3,15,6,5,5,6,6,6,6,6,5,5,5,5,7,6,5,7,5,7,3,3,5,6,5,5,5,5,2,5,2,2,5,2,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:57,10/10/14 8:03,1,1,1,NA,32,2,5,1,NA,5,NA,7,6,5,2,4,3,5,2,6,7,7,7,6,3,3,2,5,4,3,5,5,1,3,1,5,2,2,1,1,2,1,4,3,1,1,4,2,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:49,10/10/14 8:03,1,1,1,NA,28,1,5,1,NA,6,NA,5,6,4,4,10,3,2,3,3,6,7,6,6,3,4,3,3,7,5,5,6,5,4,5,3,6,3,6,5,3,5,3,4,3,3,4,3,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 8:03,1,1,1,NA,23,1,5,1,NA,6,NA,4,5,4,2,10,3,4,4,5,5,4,3,4,5,4,2,3,3,3,3,2,3,3,3,5,4,4,3,4,2,4,2,2,4,2,2,2,3,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:59,10/10/14 8:03,1,1,1,NA,34,1,6,1,NA,4,NA,7,7,3,1,10,3,2,4,1,6,7,7,7,5,6,5,7,5,5,6,6,6,7,6,2,5,7,7,7,7,7,3,4,2,2,3,4,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:54,10/10/14 8:03,1,1,1,NA,43,2,6,1,NA,5,NA,2,2,2,2,5,6,6,6,4,7,7,6,6,5,7,7,7,5,6,6,6,3,3,4,1,6,2,5,4,1,5,5,2,4,4,2,5,3,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:57,10/10/14 8:03,1,1,1,NA,33,2,5,1,NA,5,NA,1,1,1,1,15,2,2,2,1,6,6,6,5,2,2,2,2,4,5,5,6,6,6,6,4,6,4,6,6,4,6,2,4,3,2,4,3,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:47,10/10/14 8:03,1,1,1,NA,35,2,5,1,NA,7,NA,7,7,4,10,240,7,6,6,6,7,7,7,6,6,6,3,6,6,6,6,6,5,2,5,1,5,1,5,5,1,5,5,1,4,4,1,4,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:54,10/10/14 8:04,1,1,1,NA,29,1,5,1,NA,4,NA,4,5,5,5,15,5,4,4,4,6,5,5,5,4,5,4,5,6,5,5,5,2,4,4,3,5,4,2,3,5,4,4,3,3,4,3,3,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 8:00,10/10/14 8:04,1,1,1,NA,32,1,5,1,NA,5,NA,6,5,4,3,20,5,6,5,4,7,7,6,6,6,6,6,7,7,7,6,6,5,3,4,2,2,4,5,5,1,3,4,4,4,3,3,4,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:58,10/10/14 8:04,1,1,1,NA,21,2,5,1,NA,5,NA,7,7,6,4,10,7,3,5,7,7,7,7,7,7,5,3,5,5,6,6,6,3,5,3,2,3,4,4,3,4,5,3,4,3,5,4,2,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:59,10/10/14 8:04,1,1,1,NA,25,1,5,1,NA,4,NA,6,7,5,2,45,2,1,2,2,2,2,3,4,2,3,2,2,4,3,1,4,5,6,7,5,6,5,6,6,2,4,2,4,3,2,4,1,4,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:53,10/10/14 8:04,1,1,1,NA,43,2,5,1,NA,6,NA,7,6,6,2,120,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,2,5,6,2,5,5,6,2,6,6,2,5,2,2,5,2,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 8:04,1,1,1,NA,44,1,5,1,NA,7,NA,6,5,2,2,120,2,2,3,2,6,5,3,5,3,3,5,6,5,5,6,6,3,4,5,6,7,6,5,6,5,5,2,5,2,2,4,4,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:57,10/10/14 8:04,1,1,1,NA,40,1,5,1,NA,5,NA,6,6,5,1,5,6,5,5,5,6,6,6,6,5,6,6,6,3,5,5,6,5,4,6,2,4,3,5,5,6,6,2,5,4,2,5,2,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 8:00,10/10/14 8:04,1,1,1,NA,33,2,5,1,NA,4,NA,3,5,4,2,5,3,4,2,4,2,5,3,4,3,5,3,5,2,5,3,5,3,5,3,4,5,3,3,5,3,4,4,2,3,2,3,4,2,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:40,10/10/14 8:04,1,1,1,NA,32,1,5,1,NA,6,NA,6,7,6,1,30,4,4,4,4,6,6,6,6,4,4,4,4,6,6,6,6,6,5,6,2,4,4,5,6,4,4,3,4,4,3,4,2,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:58,10/10/14 8:04,1,1,1,NA,21,2,5,1,NA,6,NA,7,7,7,1,60,5,4,3,4,7,7,6,6,2,2,2,4,4,4,3,5,5,6,6,4,5,4,5,6,5,5,3,4,3,2,4,3,5,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:51,10/10/14 8:05,1,1,1,NA,22,2,5,1,NA,7,NA,7,7,6,2,60,1,2,1,1,4,5,5,4,5,6,5,6,5,7,7,7,2,6,3,1,7,3,2,6,6,2,4,4,4,4,5,2,5,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:58,10/10/14 8:05,1,1,1,NA,22,2,5,1,NA,5,NA,6,7,5,5,6,5,2,5,6,6,7,6,7,5,6,5,7,4,6,5,7,5,3,6,2,5,2,6,6,2,5,2,5,4,5,5,1,5,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:58,10/10/14 8:05,1,1,1,NA,30,2,6,1,NA,4,NA,7,7,7,1,5,6,6,6,5,5,6,6,5,6,6,7,7,7,7,6,7,6,2,6,3,6,2,6,6,2,6,5,3,5,5,3,5,2,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:58,10/10/14 8:05,1,1,1,NA,44,1,5,1,NA,7,NA,6,6,4,2,15,6,5,6,6,7,7,7,7,4,4,4,4,3,4,3,4,4,3,4,3,3,3,4,3,3,3,2,5,2,3,5,2,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:58,10/10/14 8:05,1,1,1,NA,31,1,5,1,NA,5,NA,7,7,7,2,15,6,5,5,5,7,6,6,7,6,6,6,6,6,6,6,6,7,3,6,3,6,2,6,6,2,6,4,4,5,5,3,5,3,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:57,10/10/14 8:05,1,1,1,NA,26,2,5,1,NA,6,NA,5,3,2,2,20,2,2,2,2,5,5,5,5,2,6,5,6,3,6,5,5,6,3,6,2,5,5,6,6,3,6,4,4,2,4,4,4,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 8:02,10/10/14 8:05,1,1,1,NA,24,1,5,1,NA,4,NA,6,6,5,1,10,5,3,6,6,6,6,6,6,6,6,5,6,6,5,6,6,5,3,3,2,6,2,5,5,3,5,4,2,2,3,2,4,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 8:05,1,1,1,NA,24,1,5,1,NA,5,NA,6,6,3,1,5,4,3,4,5,6,6,5,4,4,5,5,6,5,5,5,5,6,3,6,2,6,3,6,5,4,6,4,3,4,4,3,4,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:51,10/10/14 8:05,1,1,1,NA,45,1,4,1,NA,6,NA,5,6,2,4,40,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,2,6,2,5,2,4,6,4,6,4,4,4,4,1,4,1,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 8:01,10/10/14 8:05,1,1,1,NA,24,2,5,1,NA,6,NA,6,6,6,8,180,6,6,6,6,7,6,6,6,6,7,6,6,6,7,6,6,6,3,5,2,6,2,6,5,2,6,4,3,3,4,3,3,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:58,10/10/14 8:06,1,1,1,NA,35,1,5,1,NA,4,NA,4,3,4,2,15,3,3,3,5,5,5,5,4,5,6,6,6,2,3,2,4,3,3,2,3,3,5,3,3,4,3,2,5,2,2,5,2,5,1,1,NA,NA,-1
