ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Description,mturkID,age,sex,ethnicity,country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,StartDate2,EndDate2,rt
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 10:53,1,1,NA,28,2,5,1,5,5,5,3,6,6,4,4,5,5,5,6,5,2,6,5,5,4,6,5,6,5,5,6,6,5,6,4,5,5,5,5,6,6,5,5,5,5,6,5,5,5,6,6,6,5,5,5,6,6,5,3,6,4,5,6,5,5,4,5,3,6,5,5,5,5,5,5,6,4,5,2,6,6,6,5,4,6,5,5,5,5,5,5,6,5,6,3/15/13 10:47,3/15/13 10:53,6.516666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:54,1,1,NA,57,2,5,1,4,3,3,3,4,4,3,3,2,4,3,5,3,5,4,3,2,3,4,3,4,3,2,2,4,3,2,3,4,3,3,3,5,6,5,5,4,4,3,4,3,4,6,3,3,3,2,4,3,3,5,4,3,3,5,4,4,3,4,3,3,6,3,6,6,5,4,5,2,3,5,3,2,3,5,4,3,5,3,5,5,3,3,3,6,3,1,3/15/13 10:44,3/15/13 10:54,9.316666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:37,3/15/13 10:54,1,1,NA,52,2,5,1,7,5,2,1,3,6,4,3,6,4,6,5,5,7,6,4,3,6,4,3,2,2,6,5,3,2,5,3,3,5,2,2,1,2,3,2,3,4,3,2,2,3,3,1,2,2,2,2,2,2,4,3,2,2,5,2,2,3,4,1,6,3,3,4,3,4,2,2,3,6,1,5,2,2,6,6,3,6,2,3,6,3,3,4,4,2,5,3/15/13 10:37,3/15/13 10:54,16.78333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:54,1,1,NA,28,2,5,1,3,3,3,3,3,3,4,3,4,3,3,3,4,5,5,4,3,6,3,5,4,3,5,3,3,3,5,3,3,3,3,3,4,5,5,3,4,3,3,3,3,3,4,5,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,5,3,3,3,3,4,3,3,5,3,3,3,3,3,3,3,3,2,3/15/13 10:44,3/15/13 10:54,10.56666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:40,3/15/13 10:54,1,1,NA,30,1,11,1,5,5,5,5,5,6,5,5,5,5,5,5,5,3,5,5,6,5,6,6,6,6,6,5,5,5,6,6,5,5,5,5,5,3,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,5,5,6,5,5,5,6,5,5,3,6,3,6,5,6,6,6,6,6,5,6,6,6,5,6,5,5,5,6,5,5,5,5,5,5,6,5,5,3/15/13 10:40,3/15/13 10:54,13.98333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 10:55,1,1,NA,26,1,5,1,6,3,2,5,5,5,6,5,6,4,5,5,2,5,5,6,4,3,5,4,5,1,4,3,5,5,2,4,6,4,4,2,4,6,4,5,5,6,5,5,6,5,5,4,2,2,3,4,2,2,5,2,5,4,5,4,5,2,4,4,5,5,5,5,6,6,3,5,3,5,2,4,5,3,6,2,4,6,5,5,5,4,5,6,6,3,4,3/15/13 10:47,3/15/13 10:55,7.4
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:55,1,1,NA,49,2,5,1,5,5,5,7,7,5,4,5,5,5,6,6,6,2,6,6,5,4,6,3,6,3,7,6,5,6,6,4,6,6,5,5,5,6,7,7,6,6,5,6,6,5,7,6,7,5,5,6,6,5,6,6,6,5,6,6,6,5,5,6,2,6,5,7,7,7,6,5,5,6,5,7,5,6,5,5,6,6,5,5,4,4,5,4,7,5,5,3/15/13 10:44,3/15/13 10:55,11.05
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:55,1,1,NA,67,1,5,1,6,5,5,6,6,5,6,5,6,3,5,5,5,5,5,5,5,5,5,4,5,5,6,4,5,5,5,6,5,5,4,3,4,5,5,5,5,3,4,6,3,3,5,5,4,5,3,4,3,4,4,3,5,4,6,5,6,4,5,5,6,5,5,6,6,5,5,5,5,6,5,5,5,5,6,3,5,6,5,3,5,4,5,3,6,3,3,3/15/13 10:44,3/15/13 10:55,11
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:32,3/15/13 10:55,1,1,NA,35,1,6,1,6,5,6,5,6,6,6,6,6,7,6,5,5,6,6,2,2,3,2,6,2,2,3,6,6,6,2,3,5,5,6,6,5,5,6,6,6,6,6,6,6,2,6,3,2,1,6,5,3,3,6,2,2,4,5,3,5,6,5,3,5,5,6,5,6,6,4,2,6,3,3,2,3,3,6,3,6,6,6,6,6,4,6,2,1,6,5,3/15/13 10:32,3/15/13 10:55,23.35
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:42,3/15/13 10:56,1,1,NA,26,1,5,1,5,5,3,5,3,5,4,3,4,5,5,5,6,5,5,4,4,6,3,4,5,2,2,6,5,5,5,3,3,6,3,3,3,3,6,5,5,6,5,6,5,5,6,3,6,6,3,5,6,5,6,3,6,4,7,5,5,4,6,6,5,7,3,7,6,5,5,5,7,6,7,5,4,5,7,7,4,7,3,6,7,7,3,7,6,6,5,3/15/13 10:42,3/15/13 10:56,13.51666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:33,3/15/13 10:56,1,1,NA,20,1,6,1,4,4,2,3,5,6,6,6,6,3,6,6,5,6,6,6,5,6,6,5,6,5,6,5,2,3,3,6,2,2,2,3,5,4,2,4,3,5,2,3,5,2,5,6,5,2,2,5,5,4,5,5,5,2,2,5,2,5,3,2,5,5,2,5,3,4,6,5,2,3,5,4,4,5,7,2,3,5,3,4,4,5,2,3,2,2,2,3/15/13 10:33,3/15/13 10:56,22.4
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 10:56,1,1,NA,21,2,4,1,6,6,3,4,6,6,6,7,4,5,5,5,7,4,4,7,3,5,4,3,4,3,6,4,4,6,3,4,4,3,3,2,4,4,7,5,5,4,4,4,7,2,7,4,3,2,2,4,4,3,4,4,4,3,5,4,6,4,6,6,6,6,6,6,7,7,6,5,4,3,6,5,5,5,3,3,6,5,4,5,2,4,7,2,7,5,6,3/15/13 10:47,3/15/13 10:56,9.533333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:49,3/15/13 10:57,1,1,NA,29,1,5,1,6,3,2,1,5,6,5,5,6,3,5,4,5,7,6,5,3,5,5,3,3,3,6,2,2,2,2,3,3,2,2,3,3,3,1,3,3,2,3,2,2,2,2,4,1,2,2,3,1,1,2,3,3,2,5,2,2,2,3,3,6,2,4,5,2,5,3,5,2,4,5,2,2,2,4,1,2,3,2,3,3,2,2,5,3,2,2,3/15/13 10:49,3/15/13 10:57,7.966666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 10:57,1,1,NA,21,1,5,1,2,3,3,3,4,3,3,3,4,3,4,3,4,4,4,4,2,4,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,4,4,3,3,2,3,3,4,3,3,2,2,4,3,3,3,5,3,4,5,3,4,3,4,3,3,3,4,3,2,4,3,3,3,3,4,4,3,3,3,3,3,4,3,4,3/15/13 10:47,3/15/13 10:57,10.41666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:42,3/15/13 10:57,1,1,NA,35,1,5,1,6,5,3,2,5,5,6,5,5,5,6,5,5,6,6,6,3,5,5,4,5,5,2,5,3,2,3,2,2,3,3,2,3,4,3,3,5,5,3,3,6,3,5,3,2,2,2,5,2,3,4,5,3,2,5,3,5,2,4,5,3,3,4,5,4,4,5,4,2,6,2,3,3,2,6,3,2,4,2,4,5,3,3,3,4,2,2,3/15/13 10:42,3/15/13 10:57,14.95
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:51,3/15/13 10:57,1,1,NA,19,2,5,1,4,5,3,3,6,4,5,3,3,5,5,5,5,5,3,4,3,5,3,2,1,2,3,6,3,3,2,2,5,3,3,3,5,5,5,5,5,3,3,5,5,3,6,4,2,2,3,5,3,3,4,5,4,3,5,3,4,3,3,5,5,6,5,6,6,6,4,4,5,2,3,4,4,3,6,6,4,5,3,5,6,5,4,6,5,3,4,3/15/13 10:51,3/15/13 10:57,5.966666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:46,3/15/13 10:58,1,1,NA,31,1,5,1,5,5,3,2,6,6,6,6,5,5,5,4,5,6,6,6,5,5,3,5,3,5,7,5,5,3,3,3,6,5,2,6,6,5,6,5,5,5,6,6,6,5,6,6,3,5,3,5,2,3,6,5,5,5,6,5,3,2,3,6,2,7,6,6,6,6,5,5,3,5,5,5,3,3,7,4,3,6,3,4,5,5,3,3,6,3,4,3/15/13 10:46,3/15/13 10:58,11.65
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 10:58,1,1,NA,29,1,5,1,2,2,2,4,2,5,2,1,2,4,5,2,2,6,3,2,2,5,4,2,6,2,2,1,2,1,2,2,2,2,2,2,2,4,4,2,1,4,2,4,5,1,4,7,2,2,2,5,3,3,2,4,4,1,5,3,1,1,1,2,1,2,2,4,2,2,2,3,1,7,1,1,2,3,5,3,4,4,2,5,5,6,2,3,1,1,1,3/15/13 10:43,3/15/13 10:58,15.21666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:49,3/15/13 10:58,1,1,NA,42,1,5,1,3,3,2,4,5,4,2,2,3,2,4,3,4,5,3,3,3,3,3,3,4,3,2,3,2,2,3,3,4,2,2,2,4,5,3,4,4,2,5,4,3,3,5,5,3,3,2,3,3,3,6,4,5,2,5,4,3,2,5,4,5,5,5,5,3,4,3,5,2,5,3,4,3,3,5,3,2,4,3,3,2,3,3,2,3,2,3,3/15/13 10:49,3/15/13 10:58,8.966666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 10:58,1,1,NA,32,2,5,1,7,6,6,5,6,7,6,6,7,6,7,6,7,3,7,7,6,6,7,6,7,6,6,7,5,6,7,6,6,6,5,6,5,6,7,6,6,7,3,6,7,5,7,6,6,6,3,7,6,6,7,7,6,5,7,6,6,6,5,6,5,7,6,7,7,7,6,6,5,5,6,6,5,7,7,5,5,7,5,6,7,6,6,5,7,5,3,3/15/13 10:43,3/15/13 10:58,15.63333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:50,3/15/13 10:59,1,1,NA,47,1,5,1,6,5,6,5,5,6,6,6,6,5,6,6,2,4,6,6,3,6,5,2,5,2,6,6,3,4,5,5,3,4,4,3,5,6,5,5,5,6,4,4,5,3,6,2,3,3,4,5,4,5,5,4,4,3,6,6,6,3,5,5,5,6,5,6,3,5,6,2,3,5,6,5,5,3,5,3,3,6,3,3,4,2,6,3,5,2,3,3/15/13 10:50,3/15/13 10:59,8.266666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:31,3/15/13 10:59,1,1,NA,24,2,5,1,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,6,4,5,2,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,3,5,5,6,6,5,6,5,5,5,6,3,3,1,2,5,5,5,6,6,3,5,5,5,5,5,4,6,6,5,5,5,5,5,6,5,3,5,5,5,5,3/15/13 10:31,3/15/13 10:59,27.86666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:51,3/15/13 10:59,1,1,NA,24,1,5,1,5,5,2,2,4,5,4,5,5,2,3,4,2,6,6,5,3,5,5,2,6,4,2,2,2,2,3,3,2,2,2,2,5,5,3,2,3,2,4,2,4,2,5,5,3,3,2,2,2,4,4,3,3,2,3,3,4,2,2,2,2,4,2,4,3,4,4,3,2,6,4,3,2,3,4,3,2,4,2,2,2,2,2,2,2,2,2,3/15/13 10:51,3/15/13 10:59,7.833333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:59,1,1,NA,54,2,5,1,6,6,3,3,6,7,5,3,6,3,5,6,6,6,6,3,5,5,5,6,6,5,5,3,3,5,5,4,6,5,5,5,6,5,5,7,5,5,5,5,6,5,6,6,3,5,2,5,5,3,5,5,5,5,5,5,5,6,3,6,3,6,6,6,5,5,5,5,3,6,5,5,5,5,4,4,3,3,5,1,4,2,5,3,5,3,6,3/15/13 10:44,3/15/13 10:59,15.55
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:51,3/15/13 11:00,1,1,NA,25,1,5,1,4,5,5,5,5,5,6,6,4,6,5,5,5,4,6,6,3,6,3,4,3,3,5,5,5,5,3,3,6,5,5,2,5,5,6,5,6,6,5,4,5,4,6,6,4,5,4,6,4,5,6,4,5,4,5,5,5,5,5,5,4,5,5,6,6,5,6,4,4,4,5,5,4,4,6,5,5,6,4,5,5,4,6,5,6,4,2,3/15/13 10:51,3/15/13 11:00,8.516666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:52,3/15/13 11:00,1,1,NA,22,1,2,1,5,5,6,6,6,6,5,4,5,2,5,6,3,5,5,5,2,3,5,3,6,5,6,6,6,6,6,4,6,5,6,6,6,2,6,5,6,2,6,6,5,2,6,6,6,3,6,5,5,6,3,4,7,5,5,3,6,6,3,5,3,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,5,4,6,5,2,5,5,5,3/15/13 10:52,3/15/13 11:00,7.966666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 11:00,1,1,NA,35,2,5,1,4,3,5,4,5,5,2,1,4,3,4,4,4,5,4,1,2,4,4,4,4,3,4,5,5,2,4,2,3,4,4,5,4,5,1,5,4,6,4,4,6,3,5,5,4,4,4,4,4,7,5,5,7,4,5,4,4,5,4,5,1,5,4,5,5,4,4,5,5,5,4,4,3,4,6,6,5,5,4,5,6,5,3,5,5,4,4,3/15/13 10:47,3/15/13 11:00,13.03333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:37,3/15/13 11:00,1,1,NA,27,2,5,1,4,6,4,6,4,5,6,6,4,5,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,5,3,4,6,4,5,5,4,5,5,5,4,5,5,4,4,5,4,5,4,4,4,3,3,4,3,3,3,5,4,3,5,5,3,4,6,4,4,5,5,3,5,2,5,3,3,4,4,5,5,4,4,4,5,4,3,3,4,4,5,4,5,3/15/13 10:37,3/15/13 11:00,23.2
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:52,3/15/13 11:01,1,1,NA,32,1,5,1,5,5,5,3,5,5,6,6,5,3,5,5,5,5,5,5,3,4,5,5,5,3,6,3,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,5,5,3,3,5,5,5,3,5,5,5,5,5,5,5,3,5,3,5,5,5,6,6,5,5,5,5,5,5,5,5,5,3,5,6,6,3,3,3,5,3,6,5,5,3/15/13 10:52,3/15/13 11:01,8.6
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 11:01,1,1,NA,54,2,5,1,4,6,6,7,6,3,4,2,5,3,3,5,7,3,5,5,6,4,6,4,2,5,3,2,6,5,6,4,6,6,6,7,4,7,5,7,5,5,7,5,5,5,7,7,4,4,7,5,5,6,5,7,7,6,5,6,6,5,7,5,6,7,4,6,5,7,5,7,5,5,5,5,6,6,7,4,6,6,5,2,6,6,5,5,7,4,5,3/15/13 10:43,3/15/13 11:01,18.3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:53,3/15/13 11:01,1,1,NA,28,2,5,1,5,4,2,2,4,6,4,3,4,4,5,5,5,4,5,3,3,4,3,3,6,2,3,3,4,4,3,2,5,3,3,3,4,5,3,5,5,4,4,4,4,4,5,5,3,2,3,5,3,4,5,5,4,3,5,5,4,4,5,5,2,5,5,5,5,5,4,3,4,3,4,4,5,3,4,4,4,5,3,3,4,4,3,3,5,3,5,3/15/13 10:53,3/15/13 11:01,8.183333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:52,3/15/13 11:01,1,1,NA,23,1,6,1,6,6,4,5,4,5,3,2,6,5,5,5,4,5,7,5,3,4,4,3,4,2,3,6,5,4,4,2,5,5,5,5,6,5,6,5,6,6,5,5,7,4,4,4,4,3,5,5,4,3,3,3,3,6,6,5,5,5,5,6,6,5,5,6,5,4,5,3,4,4,3,5,3,4,7,4,5,5,4,5,6,4,1,5,5,3,1,3/15/13 10:52,3/15/13 11:01,9.5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:48,3/15/13 11:02,1,1,NA,21,1,5,1,7,7,7,1,7,1,6,6,7,7,7,7,7,1,7,5,7,7,7,7,7,3,1,7,7,7,7,4,7,7,7,7,7,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,7,7,7,7,7,7,4,7,7,7,7,7,7,4,7,7,7,7,4,4,7,1,7,4,7,3/15/13 10:48,3/15/13 11:02,13.18333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:48,3/15/13 11:02,1,1,NA,29,2,5,1,6,5,6,4,6,6,4,4,5,5,5,5,7,5,7,4,5,4,5,5,7,5,6,5,5,5,4,6,5,5,3,7,7,7,6,6,6,5,2,6,6,3,7,5,4,4,4,3,3,4,5,4,5,5,6,5,4,6,7,6,5,7,5,7,5,5,3,6,7,6,3,5,5,6,7,3,5,7,5,4,4,3,4,2,7,4,7,3/15/13 10:48,3/15/13 11:02,13.36666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:46,3/15/13 11:02,1,1,NA,33,1,5,1,6,5,6,5,6,6,5,7,6,5,6,7,6,2,7,6,5,7,6,4,7,2,6,6,6,6,6,3,6,6,5,7,5,7,7,7,6,6,6,7,7,5,6,6,6,6,6,6,6,6,7,5,6,6,5,7,5,5,4,6,2,5,7,6,6,6,5,5,3,5,6,7,5,5,6,5,6,7,5,5,6,5,6,5,6,6,3,3/15/13 10:46,3/15/13 11:02,15.65
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:56,3/15/13 11:02,1,1,NA,26,2,5,1,3,4,7,5,4,5,4,4,4,7,6,5,5,4,4,4,4,4,4,4,3,3,1,1,4,4,4,4,7,4,4,4,7,7,4,4,3,4,3,4,4,7,7,3,1,4,3,4,1,3,4,4,4,4,4,6,5,4,4,4,4,4,7,4,4,3,5,4,5,4,4,4,4,4,5,4,3,4,4,4,5,2,4,4,5,3,4,3/15/13 10:56,3/15/13 11:02,6.533333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:57,3/15/13 11:03,1,1,NA,23,2,5,1,4,2,3,3,5,7,4,4,5,5,5,4,4,4,5,6,4,4,4,5,4,3,5,4,3,4,4,4,4,4,4,2,4,2,4,4,5,6,3,4,5,2,5,5,4,4,1,5,5,4,6,4,3,3,5,3,4,1,2,5,2,2,4,5,2,4,5,4,4,5,5,4,3,5,6,5,2,5,3,2,5,5,5,4,5,4,3,3/15/13 10:57,3/15/13 11:03,6.1
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:55,3/15/13 11:03,1,1,NA,24,1,5,1,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,3,6,3,3,3,3,3,3,3,3,5,5,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3/15/13 10:55,3/15/13 11:03,7.783333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 11:03,1,1,NA,27,1,2,1,5,5,4,4,4,6,5,6,5,6,5,4,5,6,7,5,4,5,5,5,5,4,5,4,4,4,3,4,4,3,3,5,4,5,4,4,4,4,5,4,5,3,5,5,3,2,3,4,3,4,5,3,3,3,7,4,5,6,5,6,3,5,4,5,5,6,5,3,5,5,4,3,3,3,5,3,4,5,4,5,5,4,4,3,4,3,3,3/15/13 10:47,3/15/13 11:03,16.33333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:54,3/15/13 11:04,1,1,NA,60,2,5,1,6,6,5,4,6,6,6,5,6,5,6,6,6,2,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,5,6,6,6,5,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,3,6,3,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,4,6,6,5,5,6,5,6,3/15/13 10:54,3/15/13 11:04,10.06666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:57,3/15/13 11:04,1,1,NA,23,1,5,1,5,2,2,2,2,5,3,2,4,2,3,2,2,5,6,3,2,2,3,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,5,5,6,2,2,5,2,2,2,3,3,5,2,2,2,2,2,2,2,5,3,2,2,2,3,2,2,2,3,3/15/13 10:57,3/15/13 11:04,7.05
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:58,3/15/13 11:04,1,1,NA,33,2,5,1,5,6,4,5,2,3,4,5,3,3,6,5,4,2,3,7,5,2,3,3,3,3,2,6,3,4,3,4,3,5,5,4,4,5,4,5,3,3,3,2,2,2,4,5,2,4,4,4,3,6,2,5,6,5,5,4,2,3,3,3,4,4,3,3,5,6,2,3,5,3,6,2,5,2,5,6,3,2,3,2,5,4,2,2,2,3,5,3/15/13 10:58,3/15/13 11:04,6.1
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:57,3/15/13 11:04,1,1,NA,29,2,5,1,6,6,5,6,6,5,7,7,6,4,5,5,5,5,7,7,7,4,6,5,6,7,6,5,4,7,6,5,5,6,4,4,5,5,6,5,6,5,5,6,4,6,6,6,5,5,6,4,4,2,3,3,6,7,5,4,6,5,5,6,4,4,6,6,7,5,5,3,7,3,2,6,5,3,4,4,5,5,4,5,3,3,6,4,5,6,5,3/15/13 10:57,3/15/13 11:04,7.7
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:55,3/15/13 11:05,1,1,NA,20,1,5,1,6,6,7,6,7,5,6,1,4,6,6,7,6,2,7,7,6,5,7,7,6,4,7,6,7,6,6,6,7,4,6,7,5,4,6,7,7,7,5,7,7,7,6,6,6,6,6,7,7,6,6,7,1,7,7,6,7,7,3,7,6,7,6,7,6,7,7,6,6,4,5,6,6,7,7,7,7,7,7,7,7,6,6,7,7,7,6,3/15/13 10:55,3/15/13 11:05,9.916666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:54,3/15/13 11:05,1,1,NA,35,2,7,1,7,7,7,7,1,7,7,7,7,7,7,7,7,1,7,7,4,7,7,1,7,4,7,7,7,5,7,1,7,7,7,7,7,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,5,7,2,1,7,4,7,7,7,7,1,7,7,7,7,1,7,7,1,7,1,1,3/15/13 10:54,3/15/13 11:05,10.81666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:30,3/15/13 11:05,1,1,NA,28,2,4,1,6,3,5,6,6,6,3,3,6,5,5,5,6,5,6,4,3,3,3,3,5,3,5,2,3,3,5,3,5,6,2,2,6,2,3,5,5,6,3,5,6,5,3,5,3,3,3,3,3,3,6,2,5,3,5,5,3,5,2,6,5,5,6,7,6,7,5,5,1,7,5,6,1,3,2,2,5,3,5,2,1,2,3,2,7,5,3,3/15/13 10:30,3/15/13 11:05,35.18333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:46,3/15/13 11:05,1,1,NA,21,1,5,1,7,5,5,3,7,7,4,7,7,5,7,7,5,1,7,4,7,7,7,7,7,7,4,5,5,5,7,7,6,6,5,5,7,5,5,6,5,5,6,7,4,4,5,7,7,7,4,5,7,7,7,7,7,5,7,7,6,5,2,7,1,7,6,7,5,2,6,7,4,7,7,7,6,7,6,5,5,7,4,5,5,5,7,5,5,5,4,3/15/13 10:46,3/15/13 11:05,19.06666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:57,3/15/13 11:06,1,1,NA,22,2,5,1,4,3,4,5,5,4,3,4,3,4,4,3,4,4,5,1,4,5,4,5,2,1,5,3,3,3,1,4,4,4,3,5,4,4,5,4,3,4,5,4,4,4,5,5,4,3,4,4,5,4,3,4,4,3,4,7,3,3,5,5,5,5,4,5,6,5,4,4,2,3,4,4,4,3,2,5,4,4,4,4,1,3,2,3,4,4,3,3/15/13 10:57,3/15/13 11:06,8.65
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:56,3/15/13 11:06,1,1,NA,39,1,5,1,7,2,4,2,5,7,6,7,7,2,6,5,6,7,7,6,2,6,7,3,6,4,5,2,1,2,2,4,4,2,2,1,3,2,2,6,5,1,6,4,3,3,5,6,1,2,1,2,2,4,3,4,3,1,3,5,2,7,1,3,2,5,4,6,5,5,4,6,1,6,6,6,3,1,5,2,2,6,2,2,2,2,5,2,6,2,3,3/15/13 10:56,3/15/13 11:06,10.01666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:57,3/15/13 11:06,1,1,NA,22,1,5,1,4,5,5,4,6,4,4,3,5,4,5,5,5,6,5,4,5,4,5,4,4,5,5,3,4,4,3,3,5,5,4,5,5,5,5,5,4,3,5,5,4,3,6,4,4,4,2,3,3,5,4,3,4,2,5,4,6,5,5,5,4,6,5,6,5,6,3,5,3,5,5,4,3,3,5,3,3,5,4,3,5,2,2,3,5,4,5,3/15/13 10:57,3/15/13 11:06,9.25
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 11:06,1,1,NA,23,2,5,1,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,4,4,5,4,4,3,4,4,4,4,4,4,5,5,4,5,4,4,5,4,5,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,4,5,4,5,3/15/13 10:47,3/15/13 11:06,19.03333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:55,3/15/13 11:06,1,1,NA,49,1,5,1,6,5,3,5,5,6,6,6,6,6,6,6,3,5,6,6,4,7,5,5,6,5,6,6,3,3,6,6,4,3,3,3,3,3,5,5,6,5,4,5,6,4,5,5,2,3,2,5,5,4,4,5,4,4,5,4,4,2,5,3,5,6,5,5,5,6,5,6,2,5,3,5,3,5,4,2,2,6,3,5,3,3,4,2,3,3,4,3/15/13 10:55,3/15/13 11:06,11.2
